"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2017 05:30:00 - 03/01/2017 05:45:00","BZN|AT","Sequence 2","33.26","",""
"03/01/2017 05:45:00 - 03/01/2017 06:00:00","BZN|AT","Sequence 2","49.0","",""
"03/01/2017 06:00:00 - 03/01/2017 06:15:00","BZN|AT","Sequence 2","9.91","",""
"03/01/2017 06:15:00 - 03/01/2017 06:30:00","BZN|AT","Sequence 2","35.2","",""
"03/01/2017 06:30:00 - 03/01/2017 06:45:00","BZN|AT","Sequence 2","50.0","",""
"03/01/2017 06:45:00 - 03/01/2017 07:00:00","BZN|AT","Sequence 2","60.45","",""
"03/01/2017 07:00:00 - 03/01/2017 07:15:00","BZN|AT","Sequence 2","36.55","",""
"03/01/2017 07:15:00 - 03/01/2017 07:30:00","BZN|AT","Sequence 2","52.0","",""
"03/01/2017 07:30:00 - 03/01/2017 07:45:00","BZN|AT","Sequence 2","56.0","",""
"03/01/2017 07:45:00 - 03/01/2017 08:00:00","BZN|AT","Sequence 2","59.91","",""
"03/01/2017 08:00:00 - 03/01/2017 08:15:00","BZN|AT","Sequence 2","49.29","",""
"03/01/2017 08:15:00 - 03/01/2017 08:30:00","BZN|AT","Sequence 2","48.38","",""
"03/01/2017 08:30:00 - 03/01/2017 08:45:00","BZN|AT","Sequence 2","45.28","",""
"03/01/2017 08:45:00 - 03/01/2017 09:00:00","BZN|AT","Sequence 2","44.62","",""
"03/01/2017 09:00:00 - 03/01/2017 09:15:00","BZN|AT","Sequence 2","54.0","",""
"03/01/2017 09:15:00 - 03/01/2017 09:30:00","BZN|AT","Sequence 2","49.54","",""
"03/01/2017 09:30:00 - 03/01/2017 09:45:00","BZN|AT","Sequence 2","43.6","",""
"03/01/2017 09:45:00 - 03/01/2017 10:00:00","BZN|AT","Sequence 2","38.0","",""
"03/01/2017 10:00:00 - 03/01/2017 10:15:00","BZN|AT","Sequence 2","57.06","",""
"03/01/2017 10:15:00 - 03/01/2017 10:30:00","BZN|AT","Sequence 2","49.09","",""
"03/01/2017 10:30:00 - 03/01/2017 10:45:00","BZN|AT","Sequence 2","38.95","",""
"03/01/2017 10:45:00 - 03/01/2017 11:00:00","BZN|AT","Sequence 2","33.29","",""
"03/01/2017 11:00:00 - 03/01/2017 11:15:00","BZN|AT","Sequence 2","52.41","",""
"03/01/2017 11:15:00 - 03/01/2017 11:30:00","BZN|AT","Sequence 2","48.29","",""
"03/01/2017 11:30:00 - 03/01/2017 11:45:00","BZN|AT","Sequence 2","40.0","",""
"03/01/2017 11:45:00 - 03/01/2017 12:00:00","BZN|AT","Sequence 2","33.7","",""
"03/01/2017 12:00:00 - 03/01/2017 12:15:00","BZN|AT","Sequence 2","47.3","",""
"03/01/2017 12:15:00 - 03/01/2017 12:30:00","BZN|AT","Sequence 2","37.58","",""
"03/01/2017 12:30:00 - 03/01/2017 12:45:00","BZN|AT","Sequence 2","36.42","",""
"03/01/2017 12:45:00 - 03/01/2017 13:00:00","BZN|AT","Sequence 2","34.7","",""
"03/01/2017 13:00:00 - 03/01/2017 13:15:00","BZN|AT","Sequence 2","42.92","",""
"03/01/2017 13:15:00 - 03/01/2017 13:30:00","BZN|AT","Sequence 2","38.24","",""
"03/01/2017 13:30:00 - 03/01/2017 13:45:00","BZN|AT","Sequence 2","34.39","",""
"03/01/2017 13:45:00 - 03/01/2017 14:00:00","BZN|AT","Sequence 2","33.13","",""
"03/01/2017 14:00:00 - 03/01/2017 14:15:00","BZN|AT","Sequence 2","40.66","",""
"03/01/2017 14:15:00 - 03/01/2017 14:30:00","BZN|AT","Sequence 2","38.24","",""
"03/01/2017 14:30:00 - 03/01/2017 14:45:00","BZN|AT","Sequence 2","37.88","",""
"03/01/2017 14:45:00 - 03/01/2017 15:00:00","BZN|AT","Sequence 2","40.88","",""
"03/01/2017 15:00:00 - 03/01/2017 15:15:00","BZN|AT","Sequence 2","35.86","",""
"03/01/2017 15:15:00 - 03/01/2017 15:30:00","BZN|AT","Sequence 2","40.7","",""
"03/01/2017 15:30:00 - 03/01/2017 15:45:00","BZN|AT","Sequence 2","42.53","",""
"03/01/2017 15:45:00 - 03/01/2017 16:00:00","BZN|AT","Sequence 2","44.9","",""
"03/01/2017 16:00:00 - 03/01/2017 16:15:00","BZN|AT","Sequence 2","32.4","",""
"03/01/2017 16:15:00 - 03/01/2017 16:30:00","BZN|AT","Sequence 2","39.0","",""
"03/01/2017 16:30:00 - 03/01/2017 16:45:00","BZN|AT","Sequence 2","41.87","",""
"03/01/2017 16:45:00 - 03/01/2017 17:00:00","BZN|AT","Sequence 2","48.06","",""
"03/01/2017 17:00:00 - 03/01/2017 17:15:00","BZN|AT","Sequence 2","40.55","",""
"03/01/2017 17:15:00 - 03/01/2017 17:30:00","BZN|AT","Sequence 2","40.46","",""
"03/01/2017 17:30:00 - 03/01/2017 17:45:00","BZN|AT","Sequence 2","43.07","",""
"03/01/2017 17:45:00 - 03/01/2017 18:00:00","BZN|AT","Sequence 2","45.4","",""
"03/01/2017 18:00:00 - 03/01/2017 18:15:00","BZN|AT","Sequence 2","42.56","",""
"03/01/2017 18:15:00 - 03/01/2017 18:30:00","BZN|AT","Sequence 2","39.48","",""
"03/01/2017 18:30:00 - 03/01/2017 18:45:00","BZN|AT","Sequence 2","37.7","",""
"03/01/2017 18:45:00 - 03/01/2017 19:00:00","BZN|AT","Sequence 2","41.23","",""
"03/01/2017 19:00:00 - 03/01/2017 19:15:00","BZN|AT","Sequence 2","47.0","",""
"03/01/2017 19:15:00 - 03/01/2017 19:30:00","BZN|AT","Sequence 2","41.37","",""
"03/01/2017 19:30:00 - 03/01/2017 19:45:00","BZN|AT","Sequence 2","33.12","",""
