"MTU (CET/CEST)","Generation - Solar [MW] Day Ahead/ BZN|DE-LU","Generation - Solar [MW] Intraday / BZN|DE-LU","Generation - Solar [MW] Current / BZN|DE-LU","Generation - Wind Offshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Offshore [MW] Intraday / BZN|DE-LU","Generation - Wind Offshore [MW] Current / BZN|DE-LU","Generation - Wind Onshore [MW] Day Ahead/ BZN|DE-LU","Generation - Wind Onshore [MW] Intraday / BZN|DE-LU","Generation - Wind Onshore [MW] Current / BZN|DE-LU"
"02.01.2023 21:00 - 02.01.2023 21:15","0","0","0","4980","5124","5402","21225","19784","21793"
"02.01.2023 21:15 - 02.01.2023 21:30","0","0","0","4964","5096","5422","21025","19545","21393"
"02.01.2023 21:30 - 02.01.2023 21:45","0","0","0","4949","5066","5419","20827","19309","21291"
"02.01.2023 21:45 - 02.01.2023 22:00","0","0","0","4936","5034","5315","20613","19067","21108"
"02.01.2023 22:00 - 02.01.2023 22:15","0","0","0","4926","5079","5183","20121","18574","20410"
"02.01.2023 22:15 - 02.01.2023 22:30","0","0","0","4893","5040","5047","19863","18392","20058"
"02.01.2023 22:30 - 02.01.2023 22:45","0","0","0","4861","4998","4989","19604","18214","19784"
"02.01.2023 22:45 - 02.01.2023 23:00","0","0","0","4828","4955","4865","19341","18034","19463"
"02.01.2023 23:00 - 02.01.2023 23:15","0","0","0","4794","4904","4832","19077","17848","19233"
"02.01.2023 23:15 - 02.01.2023 23:30","0","0","0","4777","4853","4751","18809","17651","18984"
"02.01.2023 23:30 - 02.01.2023 23:45","0","0","0","4758","4799","4730","18540","17455","19015"
"02.01.2023 23:45 - 03.01.2023 00:00","0","0","0","4746","4752","4683","18276","17264","18659"
"03.01.2023 00:00 - 03.01.2023 00:15","0","0","0","4614","4589","4589","16970","19041","19041"
"03.01.2023 00:15 - 03.01.2023 00:30","0","0","0","4559","4510","4510","16724","18562","18562"
"03.01.2023 00:30 - 03.01.2023 00:45","0","0","0","4508","4410","4410","16473","18382","18382"
"03.01.2023 00:45 - 03.01.2023 01:00","0","0","0","4490","4241","4241","16217","18354","18354"
"03.01.2023 01:00 - 03.01.2023 01:15","0","0","0","4311","4160","4160","15936","17869","17869"
"03.01.2023 01:15 - 03.01.2023 01:30","0","0","0","4265","4198","4198","15657","17455","17455"
"03.01.2023 01:30 - 03.01.2023 01:45","0","0","0","4223","4123","4123","15373","17313","17313"
